"Index","high","low","close","bid","ask","volume"
2012-02-03 14:46:59,2527.6,2474,2516.6,2516.6,2516.8,46932
2012-02-03 14:47:59,2527.6,2474,2514,2513.8,2514,46736
2012-02-03 14:48:59,2527.6,2474,2512.8,2512.8,2513.4,46052
2012-02-03 14:49:59,2527.6,2474,2510.2,2510.2,2510.6,45757
2012-02-03 14:50:59,2527.6,2474,2511.6,2511.6,2511.8,45352
2012-02-03 14:51:59,2527.6,2474,2510.2,2510,2510.6,45467
2012-02-03 14:52:59,2527.6,2474,2512.4,2512,2512.4,44910
2012-02-03 14:53:59,2527.6,2474,2512,2511.8,2512,44966
2012-02-03 14:54:59,2527.6,2474,2512.2,2512,2512.4,44724
2012-02-03 14:55:59,2527.6,2474,2512.4,2512.4,2512.6,44542
2012-02-03 14:56:59,2527.6,2474,2510.6,2510.6,2510.8,44238
2012-02-03 14:57:59,2527.6,2474,2511.2,2511,2511.2,43885
2012-02-03 14:58:59,2527.6,2474,2510.8,2510.6,2510.8,43841
2012-02-03 14:59:59,2527.6,2474,2510.8,2510.8,2511,43676
2012-02-03 15:00:59,2527.6,2474,2511.6,2511.6,2511.8,43511
2012-02-03 15:01:59,2527.6,2474,2512,2511.8,2512,43477
2012-02-03 15:02:59,2527.6,2474,2511.6,2511.6,2511.8,43443
2012-02-03 15:03:59,2527.6,2474,2511,2511,2511.2,43306
2012-02-03 15:04:59,2527.6,2474,2510.6,2510.6,2510.8,43045
2012-02-03 15:05:59,2527.6,2474,2510.8,2510.6,2510.8,42812
2012-02-03 15:06:59,2527.6,2474,2510.2,2510.2,2510.6,42566
2012-02-03 15:07:59,2527.6,2474,2511.6,2511,2511.6,42111
2012-02-03 15:08:59,2527.6,2474,2511,2511,2511.2,41830
2012-02-03 15:09:59,2527.6,2474,2510.2,2510.4,2511,41521
2012-02-03 15:10:59,2527.6,2474,2511.2,2511.2,2511.4,41036
2012-02-03 15:11:59,2527.6,2474,2512,2511.8,2512,40736
2012-02-03 15:12:59,2527.6,2474,2511.2,2511.2,2511.4,40460
2012-02-03 15:13:59,2527.6,2474,2510.4,2510.6,2510.8,39882
2012-02-03 15:14:59,2527.6,2474,2509,2509,2509.8,38475
